pair_id,pair_type,side,Arms_set,deg_set,beta_deg,id_A,iq_A,is_rated,point_role
0,mirror,motoring,606.3896,-88.6361,88.6361,-1050.0,25.0,False,dense_cartesian
0,mirror,regen,606.3896,268.6361,91.3639,-1050.0,-25.0,False,dense_cartesian
1,mirror,motoring,591.96,-88.6028,88.6028,-1025.0,25.0,False,dense_cartesian
1,mirror,regen,591.96,268.6028,91.3972,-1025.0,-25.0,False,dense_cartesian
2,mirror,motoring,577.5307,-88.5679,88.5679,-1000.0,25.0,False,dense_cartesian
2,mirror,regen,577.5307,268.5679,91.4321,-1000.0,-25.0,False,dense_cartesian
3,mirror,motoring,563.1015,-88.5312,88.5312,-975.0,25.0,False,dense_cartesian
3,mirror,regen,563.1015,268.5312,91.4688,-975.0,-25.0,False,dense_cartesian
4,mirror,motoring,548.6726,-88.4926,88.4926,-950.0,25.0,False,dense_cartesian
4,mirror,regen,548.6726,268.4926,91.5074,-950.0,-25.0,False,dense_cartesian
5,mirror,motoring,534.244,-88.4518,88.4518,-925.0,25.0,False,dense_cartesian
5,mirror,regen,534.244,268.4518,91.5482,-925.0,-25.0,False,dense_cartesian
6,mirror,motoring,519.8157,-88.4089,88.4089,-900.0,25.0,False,dense_cartesian
6,mirror,regen,519.8157,268.4089,91.5911,-900.0,-25.0,False,dense_cartesian
7,mirror,motoring,505.3876,-88.3634,88.3634,-875.0,25.0,False,dense_cartesian
7,mirror,regen,505.3876,268.3634,91.6366,-875.0,-25.0,False,dense_cartesian
8,mirror,motoring,490.9599,-88.3153,88.3153,-850.0,25.0,False,dense_cartesian
8,mirror,regen,490.9599,268.3153,91.6847,-850.0,-25.0,False,dense_cartesian
9,mirror,motoring,476.5326,-88.2643,88.2643,-825.0,25.0,False,dense_cartesian
9,mirror,regen,476.5326,268.2643,91.7357,-825.0,-25.0,False,dense_cartesian
10,mirror,motoring,462.1057,-88.2101,88.2101,-800.0,25.0,False,dense_cartesian
10,mirror,regen,462.1057,268.2101,91.7899,-800.0,-25.0,False,dense_cartesian
11,mirror,motoring,447.6792,-88.1524,88.1524,-775.0,25.0,False,dense_cartesian
11,mirror,regen,447.6792,268.1524,91.8476,-775.0,-25.0,False,dense_cartesian
12,mirror,motoring,433.2532,-88.0908,88.0908,-750.0,25.0,False,dense_cartesian
12,mirror,regen,433.2532,268.0908,91.9092,-750.0,-25.0,False,dense_cartesian
13,mirror,motoring,418.8277,-88.0251,88.0251,-725.0,25.0,False,dense_cartesian
13,mirror,regen,418.8277,268.0251,91.9749,-725.0,-25.0,False,dense_cartesian
14,mirror,motoring,404.4029,-87.9546,87.9546,-700.0,25.0,False,dense_cartesian
14,mirror,regen,404.4029,267.9546,92.0454,-700.0,-25.0,False,dense_cartesian
15,mirror,motoring,389.9786,-87.8789,87.8789,-675.0,25.0,False,dense_cartesian
15,mirror,regen,389.9786,267.8789,92.1211,-675.0,-25.0,False,dense_cartesian
16,mirror,motoring,375.5551,-87.7974,87.7974,-650.0,25.0,False,dense_cartesian
16,mirror,regen,375.5551,267.7974,92.2026,-650.0,-25.0,False,dense_cartesian
17,mirror,motoring,361.1325,-87.7094,87.7094,-625.0,25.0,False,dense_cartesian
17,mirror,regen,361.1325,267.7094,92.2906,-625.0,-25.0,False,dense_cartesian
18,mirror,motoring,346.7107,-87.6141,87.6141,-600.0,25.0,False,dense_cartesian
18,mirror,regen,346.7107,267.6141,92.3859,-600.0,-25.0,False,dense_cartesian
19,mirror,motoring,332.29,-87.5104,87.5104,-575.0,25.0,False,dense_cartesian
19,mirror,regen,332.29,267.5104,92.4896,-575.0,-25.0,False,dense_cartesian
20,mirror,motoring,317.8705,-87.3974,87.3974,-550.0,25.0,False,dense_cartesian
